time dmax hp eps
0.0 10.3889 0.0200015 7.491697073918134
0.10000000000002274 10.4159 0.0199555 7.494974480649297
0.20100000000002183 10.4694 0.019943 7.505234355908382
0.30000000000001137 10.734 0.0199954 7.511458265667844
0.39999999999997726 10.4291 0.0200602 7.515239417383151
0.5009999999999764 10.567 0.0201283 7.51931537633968
0.6000000000000227 10.615 0.0202096 7.523219024183453
0.6999999999999886 10.435 0.020309 7.526419925450387
0.8000000000000114 10.6395 0.0204035 7.526981467691904
0.8999999999999773 10.5812 0.0205062 7.528162254603222
1.0009999999999764 10.6484 0.0206073 7.5254065410544495
1.1000000000000227 10.5779 0.020694 7.522030174819413
1.1999999999999886 10.4853 0.0207861 7.5193334406639885
1.3009999999999877 10.7849 0.0208835 7.512392565290181
1.3999999999999773 10.5127 0.0209083 7.503008567443714
1.5 10.6834 0.0209437 7.499693798273176
1.6000000000000227 10.7476 0.0210086 7.492263221874262
1.6999999999999886 10.7474 0.0210475 7.482327405148819
1.8009999999999877 10.6769 0.0210687 7.473420900520221
1.9010000000000105 10.9228 0.0210881 7.463694028067659
2.0 11.1384 0.02111 7.454903367919545
2.100999999999999 11.292 0.0211238 7.445779890573146
2.201000000000022 11.2525 0.0211359 7.4380236465468865
2.3009999999999877 10.9796 0.0211475 7.428728824229978
2.4010000000000105 10.875 0.0211603 7.420400813997567
2.5 10.8629 0.0211713 7.411836275111787
2.6000000000000227 10.8961 0.0211714 7.402792160930417
2.6999999999999886 10.8846 0.0211456 7.394185288152051
2.8009999999999877 10.7052 0.0211545 7.389900901349534
2.8999999999999773 10.7665 0.0211884 7.382309518584283
3.0009999999999764 10.8345 0.0211972 7.373833137710443
3.1000000000000227 10.7354 0.0212044 7.3683198708400806
3.1999999999999886 10.936 0.0212282 7.363076989731644
3.3000000000000114 10.9472 0.021263 7.358827281697582
3.4010000000000105 11.1111 0.0213031 7.355407491954532
3.5 10.7314 0.021351 7.353451112152422
3.600999999999999 11.4715 0.0214065 7.351485318722667
3.6999999999999886 11.2542 0.0214643 7.349698906187631
3.8009999999999877 11.1552 0.0215126 7.346700912672684
3.9010000000000105 10.7294 0.0215489 7.344284584382109
4.0 10.8173 0.0215866 7.34340683956394
4.100999999999999 10.9732 0.0216509 7.344323552754849
4.201000000000022 10.8292 0.0217134 7.342933817514316
4.300000000000011 10.9478 0.021746 7.341352202195972
4.399999999999977 11.0347 0.021779 7.342179060853606
4.5 10.8107 0.0218191 7.342095819127938
4.600999999999999 10.8406 0.0218506 7.342012519095381
4.701000000000022 10.8461 0.0218749 7.343049731361958
4.800999999999988 10.9699 0.0218981 7.344332993062453
4.9010000000000105 10.933 0.0219175 7.345490372144069
5.0 10.8868 0.021927 7.346384039900249
5.100999999999999 10.989 0.0219255 7.347083554964051
5.199999999999989 10.9008 0.021927 7.349882973955479
5.300000000000011 10.7932 0.0219506 7.352873768409758
5.4010000000000105 10.8871 0.0219955 7.35570921490817
5.5 11.0554 0.0220345 7.357807681622145
5.600999999999999 11.2424 0.0220638 7.361662116161051
5.701000000000022 11.0302 0.0221103 7.367701566298672
5.800999999999988 11.4458 0.022169 7.3727845299544414
5.899999999999977 11.2396 0.0222216 7.378216953005813
6.000999999999976 11.3262 0.0222717 7.384311985160661
6.100000000000023 11.4551 0.0223209 7.390431418355715
6.199999999999989 11.4406 0.0223607 7.3971142720344725
6.300000000000011 11.4877 0.022387 7.404644953350587
6.4010000000000105 11.7157 0.0224081 7.413171028121171
6.5 11.3641 0.0224354 7.422947815086709
6.600999999999999 11.0636 0.0224707 7.4336237315843
6.699999999999989 11.1679 0.0225008 7.443880516643308
6.800999999999988 11.3002 0.0225171 7.4542006623178825
6.9010000000000105 11.2635 0.0225328 7.465812646929911
7.0 11.6645 0.0225634 7.477427457860268
7.100000000000023 11.2867 0.0225965 7.487713051890413
7.201000000000022 11.4459 0.0226226 7.498399417607403
7.300000000000011 11.3253 0.0226489 7.510133551430766
7.4010000000000105 11.6013 0.0226739 7.5216953344026525
7.5 11.4438 0.022692 7.533486526632705
7.600999999999999 11.7876 0.0227068 7.546284120342698
7.699999999999989 11.4552 0.0227295 7.560039644593195
7.800000000000011 11.4583 0.0227633 7.574983804255744
7.9010000000000105 11.3638 0.0227975 7.5890424619557635
8.0 11.3197 0.022822 7.6029032032940185
8.100000000000023 11.4932 0.0228435 7.616494022547262
8.201000000000022 11.6807 0.0228779 7.630784313931822
8.300000000000011 11.5694 0.0229247 7.643506791391587
8.40100000000001 11.4197 0.0229685 7.654347218897135
8.500999999999976 11.4756 0.0230064 7.664710282237959
8.600999999999999 11.5205 0.0230446 7.674994016275729
8.701000000000022 11.4166 0.0230793 7.68483779344095
8.800000000000011 11.6147 0.023109 7.6937474025355534
8.90100000000001 11.7725 0.0231422 7.703253792711836
9.0 11.9373 0.0231842 7.712627183672655
9.100999999999999 11.8076 0.0232268 7.721811146900148
9.201000000000022 12.1477 0.0232555 7.73018009932388
9.300000000000011 11.7318 0.0232718 7.739197379104318
9.399999999999977 11.683 0.0232914 7.748603665285041
9.5 12.4878 0.023322 7.759044622827532
9.600999999999999 12.1553 0.0233535 7.769089566830942
9.701000000000022 12.1293 0.023377 7.7784028455450365
9.800000000000011 12.4481 0.0233987 7.788238344035417
9.90100000000001 12.5139 0.0234249 7.79865728326638
10.0 11.8544 0.023454 7.809170344834457
10.100999999999999 11.9482 0.0234908 7.820247285822347
10.199999999999989 12.1419 0.0235411 7.830161798111027
10.300000000000011 12.2276 0.0236017 7.83896437935538
10.40100000000001 12.6949 0.02366 7.846637559667156
10.5 12.8694 0.0237088 7.853765638239546
10.600999999999999 11.8494 0.023758 7.861792977535804
10.699999999999989 12.0062 0.023818 7.869857167632649
10.800000000000011 12.7676 0.0238852 7.878021166871154
10.899999999999977 12.3072 0.0239451 7.885775204514772
11.000999999999976 12.135 0.023994 7.8927313089728655
11.100000000000023 12.2908 0.0240395 7.898214228449998
11.201000000000022 12.3207 0.0240846 7.901647185435413
11.300999999999988 12.3658 0.0241304 7.904757635526867
11.40100000000001 12.3399 0.0241816 7.908719997608776
